,filename,time,w_pre,w
154,MOD05_L2.A2014019.2350.061.2017308132044.hdf,20140192350,-9999.0,-9.999000474927016
155,MOD05_L2.A2014020.1130.061.2017308135313.hdf,20140201130,-9999.0,-9.999000474927016
156,MOD05_L2.A2014020.1310.061.2017308135317.hdf,20140201310,-9999.0,-9.999000474927016
157,MOD05_L2.A2014020.1450.061.2017308135237.hdf,20140201450,-9999.0,-9.999000474927016
158,MOD05_L2.A2014020.1625.061.2017308135708.hdf,20140201625,-9999.0,-9.999000474927016
159,MOD05_L2.A2014020.1805.061.2017308135207.hdf,20140201805,-9999.0,-9.999000474927016
160,MOD05_L2.A2014020.1940.061.2017308135224.hdf,20140201940,-9999.0,-9.999000474927016
161,MOD05_L2.A2014020.2120.061.2017308135350.hdf,20140202120,-9999.0,-9.999000474927016
162,MOD05_L2.A2014020.2255.061.2017308135147.hdf,20140202255,-9999.0,-9.999000474927016
163,MOD05_L2.A2014021.1215.061.2017308140028.hdf,20140211215,-9999.0,-9.999000474927016
164,MOD05_L2.A2014021.1355.061.2017308140256.hdf,20140211355,-9999.0,-9.999000474927016
165,MOD05_L2.A2014021.1530.061.2017308140409.hdf,20140211530,-9999.0,-9.999000474927016
166,MOD05_L2.A2014021.1710.061.2017308140415.hdf,20140211710,-9999.0,-9.999000474927016
167,MOD05_L2.A2014021.1845.061.2017308140408.hdf,20140211845,-9999.0,-9.999000474927016
168,MOD05_L2.A2014021.2025.061.2017308140201.hdf,20140212025,-9999.0,-9.999000474927016
169,MOD05_L2.A2014021.2200.061.2017308140228.hdf,20140212200,-9999.0,-9.999000474927016
170,MOD05_L2.A2014021.2340.061.2017308140623.hdf,20140212340,-9999.0,-9.999000474927016
171,MOD05_L2.A2014022.1120.061.2017308141015.hdf,20140221120,-9999.0,-9.999000474927016
172,MOD05_L2.A2014022.1300.061.2017308140711.hdf,20140221300,-9999.0,-9.999000474927016
173,MOD05_L2.A2014022.1435.061.2017308140850.hdf,20140221435,-9999.0,-9.999000474927016
174,MOD05_L2.A2014022.1615.061.2017308140828.hdf,20140221615,-9999.0,-9.999000474927016
175,MOD05_L2.A2014022.1750.061.2017308140905.hdf,20140221750,-9999.0,-9.999000474927016
176,MOD05_L2.A2014022.1930.061.2017308140943.hdf,20140221930,-9999.0,-9.999000474927016
